ASK_Artikelnummer,ASK_Beschreibung,Syskomp_Artikelnummer,Syskomp_Beschreibung
20107801,PROFIL 80X120L NUT 10 LE1X6060,384253782,Aluminiumprofil 80x120L Nut 10
20107900,PROFIL 80X160L NUT 10 ZUSCHNITT,384299312,Aluminiumprofil 80x160L Nut 10
20107901,PROFIL 80X160L NUT 10 LE1X6060,384252934,Aluminiumprofil 80x160L Nut 10
20108000,PROFIL 90X90L NUT 10 ZUSCHNITT,411992415,Aluminiumprofil 90x90L
20108001,PROFIL 90X90L NUT 10 LE1X6060,411509658,Aluminiumprofil 90x90L
20108003,PROFIL 90X90L NUT 10 LE1X3060,411992415,Aluminiumprofil 90x90L
20108050,PROFIL 90X90L 4N90 NUT 10 ZUSCHNITT,384299362,Aluminiumprofil 90x90L 4NVS Nut 10
20108051,PROFIL 90X90L 4N90 NUT 10 LE1X6060,384253829,Aluminiumprofil 90x90L 4NVS Nut 10
20108060,PROFIL 90X90L 6N NUT 10 ZUSCHNITT,411990600,Aluminiumprofile 90x90L6N Nut 10
20108061,PROFIL 90X90L 6N NUT 10 LE1X6060,411509600,Aluminiumprofil 90x90L6N Nut 10
20109000,PROFIL 90X90 NUT 10 ZUSCHNITT,411990500,Aluminiumprofil 90x90
20109001,PROFIL 90X90 NUT 10 LE1X6060,411509189,Aluminiumprofil 90x90
20109400,PROFIL 90X180L NUT 10 ZUSCHNITT,411992857,Aluminiumprofil 90x180L
20109401,PROFIL 90X180L NUT 10 LE1X6060,411516015,Aluminiumprofil 90x180L
20109500,PROFIL 90X180 NUT 10 ZUSCHNITT,411990416,Aluminiumprofil 90x180
20109501,PROFIL 90X180 NUT 10 LE1X6060,411509188,Aluminiumprofil 90x180
20110500,STRECKENPROFIL SP 1 /B NUT 10 ZUSCHNITT,384299293,"Streckenprofil SP1, Nut 8"
20110501,STRECKENPROFIL SP 1 /B NUT 10 LE1X6060,481529934,Streckenprofil SP1
321025,WINKEL 20X40 NUT 6,462523517,Winkel 20x40 N6;VE20
32102520,"ABDECKKAPPE WINKEL 20X40 NUT 6, GRAU",384254884,Abdeckkappe fï¿½r Winkel 20x40
321026,WINKEL 20X40 NUT 6 MIT BEF.-SATZ,462538708,WINKEL
321030,WINKEL 30X30 NUT 8,482523525,Winkel 30x30 N8;VE100
321041,WINKEL 30X30 NUT 8-NUT 10 MIT BEF.-SATZ,402523530,Winkel 30x30 N8/N10;LE01;incl.Bef.
321042,WINKEL 30X60 NUT 8,482523538,Winkel 30x60;N8;VE20
321051,WINKEL 45X45 T-NUT,412523558,"Winkel 45x45,VE100"
32105110,"ABDECKKAPPE WINKEL 45X45, SCHWARZ",412523563,Abdeckkappe fï¿½r Winkel 45x45
32105120,"ABDECKKAPPE WINKEL 45X45, GRAU",412548862,Abdeckkappe fï¿½r Winkel 45x45
321070,WINKEL 60X60 NUT 10,412523546,Winkel 60x60 N10;VE20
32107020,"ABDECKKAPPE WINKEL 60X60, GRAU",412548852,ABDECKKAPPE
321085,WINKEL 40X80 NUT 10,412529005,"Winkel 40x80,VE20"
321090,WINKEL 45X90 NUT 10,412523567,Winkel 45x90 Nut10;VE100
32109020,"ABDECKKAPPE WINKEL 45X90, GRAU",412548864,Abdeckkappe fï¿½r Winkel 45x90
321105,WINKEL 80X80 NUT 10,412530231,"Winkel 80x80,VE20"
321110,WINKEL 90X90 NUT 10,412523575,Winkel 90x90 N10;VE20
32111010,"ABDECKKAPPE WINKEL 90X90, SCHWARZ",412523580,Abdeckkappe fï¿½r Winkel 90x90
32111020,"ABDECKKAPPE WINKEL 90X90, GRAU",412548868,Abdeckkappe fï¿½r Winkel 90x90
321131,ABDECKKAPPE WINKEL 20X20 NUT 6,462523513,Abdeckkappe fï¿½r Winkel 20 x 20
