neuNr;alteNr;BEZEICHNUNG;Item;2 Bosch;AlvarisArtnr;AlvarisMatnr;ASK
110000161;402150311;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M3x20 verzinkt;";0.0.616.29;;-;-;
110000162;402150312;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M3x25 verzinkt;";8.0.006.30;;-;-;
110000163;402150313;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M3x30 verzinkt;";0.0.654.99;;-;-;
110000164;402150314;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M3x35 verzinkt;";0.0.649.17;;-;-;
110000165;402150315;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M3x50 verzinkt;";8.0.004.61;;-;-;
110000166;402150316;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M4x8 verzinkt;";0.0.655.00;;-;-;
110000167;402150317;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M4x10 verzinkt;";8.0.001.01;;-;-;
110000168;402150318;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M4x12 verzinkt;";8.0.004.11;;-;-;
110000169;402150319;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M4x14 verzinkt;";8.0.000.21;;-;-;
110000170;402150320;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M4x16 verzinkt;";8.0.000.28;;-;-;
110000171;402150321;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M4x18 verzinkt;";8.0.000.22;;-;-;
110000172;402150322;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M4x20 verzinkt;";8.0.000.23;;-;-;
110000173;402150323;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M4x25 verzinkt;";0.0.655.02;;-;-;
110000174;402150324;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M4x30 verzinkt;";8.0.006.22;;-;-;
110000175;402150325;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M4x40 verzinkt;";0.0.692.82;;-;-;
110000176;402150326;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M5x8 verzinkt;";0.0.609.72;;-;-;
110000177;402150327;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M5x10 verzinkt;";0.0.655.03;;-;-;
110000178;402150328;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M5x12 verzinkt;";8.0.004.59;;-;-;
110000179;402150329;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M5x14 verzinkt;";0.0.655.04;;-;-;
110000180;402150330;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M5x16 verzinkt;";8.0.004.14;;-;-;
110000181;402150331;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M5x18 verzinkt;";0.0.655.05;;-;-;
110000182;402150332;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M5x20 verzinkt;";8.0.004.12;;-;-;
110000183;402150333;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M5x22 verzinkt;";0.0.655.06;;-;-;
110000184;402150334;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M5x25 verzinkt;";0.0.608.35;;-;-;
110000185;402150335;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M5x30 verzinkt;";8.0.004.93;;-;-;
110000186;402150336;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M5x35 verzinkt;";8.0.004.33;;-;-;
110000187;402150337;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M5x40 verzinkt;";0.0.637.30;;-;-;
110000188;402150338;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M5x45 verzinkt;";8.0.004.88;;-;-;
110000189;402150339;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M5x65 verzinkt;";0.0.604.19;;-;-;
110000190;402150340;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M6x8 verzinkt;";0.0.655.07;;-;-;
110000191;402150341;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M6x10 verzinkt;";8.0.007.11;;-;-;
110000192;402150342;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M6x12 verzinkt;";8.0.007.16;;-;-;
110000193;402150343;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M6x16 verzinkt;";0.0.655.09;;-;-;
110000194;402150344;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M6x18 verzinkt;";0.0.655.10;;-;-;
110000195;402150345;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M6x20 verzinkt;";8.0.000.92;;-;-;
110000196;402150346;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M6x22 verzinkt;";0.0.655.11;;-;-;
110000197;402150347;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M6x25 verzinkt;";8.0.001.28;;-;-;
110000198;402150348;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M6x28 verzinkt;";0.0.668.97;;-;-;
110000199;402150349;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M6x30 verzinkt;";8.0.001.20;;-;-;
110000200;402150350;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M6x35 verzinkt;";8.0.001.23;;-;-;
110000201;402150351;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M6x40 verzinkt;";8.0.000.82;;-;-;
110000202;402150352;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M6x45 verzinkt;";0.0.612.52;;-;-;
110000203;402150353;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M6x50 verzinkt;";8.0.000.86;;-;-;
110000204;402150354;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M6x55 verzinkt;";8.0.000.61;;-;-;
110000205;402150355;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M6x60 verzinkt;";0.0.655.12;;-;-;
110000206;402150356;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M6x70 verzinkt;";0.0.655.13;;-;-;
110000207;402150357;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M6x80 verzinkt;";8.0.001.53;;-;-;
110000208;402150358;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M6x100 verzinkt;";8.0.004.70;;-;-;
110000209;402150359;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M6x140 verzinkt;";8.0.004.74;;-;-;
110000210;402150360;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M8x14 verzinkt;";8.0.007.17;;-;-;
110000211;402150361;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M8x16 verzinkt;";0.0.647.64;;-;-;
110000212;402150362;"Zylinderschraube DIN EN;ISO4762 mit innensechskant;M8x18 verzinkt;";0.0.652.76;;-;-;
